Node,Id,Label,Cluster
"6353","6353","6353",6
"6359","6359","6359",6
"6353","6353","6353",6
"6416","6416","6416",6
"6353","6353","6353",6
"6342","6342","6342",6
"6353","6353","6353",6
"6341","6341","6341",6
"6353","6353","6353",6
"8211","8211","8211",8
"5335","5335","5335",5
"8939","8939","8939",8
"5335","5335","5335",5
"5822","5822","5822",5
"5335","5335","5335",5
"7234","7234","7234",7
"5335","5335","5335",5
"7868","7868","7868",7
"5335","5335","5335",5
"6632","6632","6632",6
"5335","5335","5335",5
"7283","7283","7283",7
"5335","5335","5335",5
"7492","7492","7492",7
"5335","5335","5335",5
"6546","6546","6546",6
"5335","5335","5335",5
"7436","7436","7436",7
"5335","5335","5335",5
"7219","7219","7219",7
"5335","5335","5335",5
"7449","7449","7449",7
"5335","5335","5335",5
"7212","7212","7212",7
"5335","5335","5335",5
"6577","6577","6577",6
"5335","5335","5335",5
"5334","5334","5334",5
"5335","5335","5335",5
"0611","0611","0611",0
"5335","5335","5335",5
"6418","6418","6418",6
"5335","5335","5335",5
"6424","6424","6424",6
"5335","5335","5335",5
"6953","6953","6953",6
"5335","5335","5335",5
"5837","5837","5837",5
"5335","5335","5335",5
"6996","6996","6996",6
"5335","5335","5335",5
"5419","5419","5419",5
"5335","5335","5335",5
"7413","7413","7413",7
"5335","5335","5335",5
"6992","6992","6992",6
"5335","5335","5335",5
"6210","6210","6210",6
"5335","5335","5335",5
"8121","8121","8121",8
"5335","5335","5335",5
"6991","6991","6991",6
"5335","5335","5335",5
"6572","6572","6572",6
"5335","5335","5335",5
"7259","7259","7259",7
"5335","5335","5335",5
"7442","7442","7442",7
"5335","5335","5335",5
"0142","0142","0142",0
"5335","5335","5335",5
"7368","7368","7368",7
"2786","2786","2786",2
"0721","0721","0721",0
"4243","4243","4243",4
"5231","5231","5231",5
"4243","4243","4243",4
"6746","6746","6746",6
"4243","4243","4243",4
"2879","2879","2879",2
"4243","4243","4243",4
"1124","1124","1124",1
"2518","2518","2518",2
"6413","6413","6413",6
"2518","2518","2518",2
"6553","6553","6553",6
"2518","2518","2518",2
"6411","6411","6411",6
"2518","2518","2518",2
"2517","2517","2517",2
"6852","6852","6852",6
"2731","2731","2731",2
"6852","6852","6852",6
"6521","6521","6521",6
"3231","3231","3231",3
"8973","8973","8973",8
"2471","2471","2471",2
"5323","5323","5323",5
"2471","2471","2471",2
"5912","5912","5912",5
"2471","2471","2471",2
"6613","6613","6613",6
"2471","2471","2471",2
"2666","2666","2666",2
"2471","2471","2471",2
"2482","2482","2482",2
"7428","7428","7428",7
"7429","7429","7429",7
"7428","7428","7428",7
"7493","7493","7493",7
"7428","7428","7428",7
"7849","7849","7849",7
"7428","7428","7428",7
"7492","7492","7492",7
"7428","7428","7428",7
"7783","7783","7783",7
"7428","7428","7428",7
