Source,Target,Weight,type
"7919","6745",0.6550926,Undirected
"7919","6785",0.5527709,Undirected
"7919","0142",0.575,Undirected
"5169","5416",0.6388889,Undirected
"5169","2117",0.0133333,Undirected
"5169","5419",0.5555555,Undirected
"5169","3232",0.0208333,Undirected
"5169","7741",0.5833333,Undirected
"0111","6553",0.0151515,Undirected
"7922","3341",0.0083333,Undirected
"2666","2667",0.7346405,Undirected
"7452","7429",0.6161616,Undirected
"7452","7416",0.5687646,Undirected
"7452","7412",0.5984849,Undirected
"7452","7436",0.6031746,Undirected
"7452","7219",0.555754,Undirected
"7452","6899",0.0144928,Undirected
"7452","8435",0.0079365,Undirected
"7452","7269",0.6792929,Undirected
"7452","7423",0.6700337,Undirected
"7452","7368",0.5934343,Undirected
"7187","0615",0.009009,Undirected
"8952","6254",0.6428571,Undirected
"8952","6532",0.5825397,Undirected
"0481","8481",0.0175439,Undirected
"6993","0572",0.0144928,Undirected
"6993","8989",0.5846154,Undirected
"6993","4236",0.015873,Undirected
"6993","2631",0.0081301,Undirected
"8928","3330",0.0133333,Undirected
"7263","5163",0.5518519,Undirected
"7263","7423",0.5518519,Undirected
"7263","6581",0.009009,Undirected
"7263","8435",0.0079365,Undirected
"8959","5332",0.5502646,Undirected
"8959","0611",0.0087719,Undirected
"6534","6516",0.6557576,Undirected
"6534","6536",0.6242424,Undirected
"6534","6531",0.6090909,Undirected
"6534","7148",0.0151515,Undirected
"6534","6560",0.5772727,Undirected
"6639","2117",0.0133333,Undirected
"7631","8811",0.625926,Undirected
"7631","6841",0.0114943,Undirected
"7631","7722",0.6090909,Undirected
"6542","0721",0.0166667,Undirected
"5146","2223",0.0166667,Undirected
"6411","5114",0.0185185,Undirected
"6411","8960",0.0111111,Undirected
"6411","2631",0.0074074,Undirected
"5223","0341",0.0072464,Undirected
"7722","7768",0.7313132,Undirected
"7722","7764",0.6868687,Undirected
"7722","7599",0.6097223,Undirected
"7722","7642",0.6068376,Undirected
"7722","7763",0.7313132,Undirected
"7722","8811",0.5787879,Undirected
"7722","7525",0.5961539,Undirected
"7722","8851",0.5580808,Undirected
"6812","8939",0.0208333,Undirected
